credit_card_number,customer_name,total_spent,transaction_count,average_transaction_amount
***********9195,Craig Franco,56480.77,535,105.57
************9446,Timothy Simmons,56340.33,1014,55.56
***********2049,Andrea Perkins,56309.85,1037,54.3
************2630,Melissa Rodriguez,56258.21,1036,54.3
************9485,Paul Wade,55861.09,518,107.84
**********9761,Brandon Pittman,55550.759999999995,520,106.83
************5425,Mary Humphrey,55381.0,998,55.49
************6278,Deborah Fisher,55138.7,1011,54.54
*********1752,Frank Foster,54942.32,1024,53.65
************5606,Nathan Byrd,54841.77,521,105.26
************4453,Tanya Dickerson,54186.16,537,100.91
************3287,Collin Brown,53958.96,521,103.57
************9010,Jonathan Byrd,53862.05,509,105.82
************6997,Jeffrey White,53710.98,531,101.15
************8984,Cory Thomas,53291.88,524,101.7
************1054,William Marshall,53053.08,504,105.26
***********2314,John Vega,52621.13,497,105.88
************5696,Carrie Lewis,52042.76,537,96.91
************5522,John Nichols,51459.73,503,102.31
************0532,Christopher Gregory,51155.92,1006,50.85
************0655,Felicia Combs,50758.74,529,95.95
************4802,Wesley Parker,50756.25,533,95.23
************0024,Kristen Allen,50598.71,995,50.85
************7514,Angie Jones,50388.53,545,92.46
************1384,Ryan Foster,50040.01,527,94.95
************3217,Robert Andrade,49153.96,521,94.35
************9519,Lawrence Frost,49012.3,520,94.25
************8503,Linda Davis,48947.1,513,95.41
***********9697,Megan Fernandez,48657.73,514,94.66
************8437,Chris Dixon,48451.08,516,93.9
***********6472,Melissa Flores,47986.52,510,94.09
*********1577,Debbie Payne,47702.77,522,91.38
***********2649,Holly Mann,46920.5,503,93.28
*********9977,Christopher Adkins,46891.42,506,92.67
**********5683,Susan Garcia,46320.909999999996,506,91.54
************2826,Tyler Small,46174.77,519,88.97
***********4784,Christopher Matthews,46140.49,514,89.77
************9261,Amanda Molina,45803.46,491,93.29
************1366,Brianna Wilson,45399.95,544,83.46
************6313,Jasmine Wade,45066.67,550,81.94
************9419,Peggy Berry,44063.55,500,88.13
**********9817,Lisa Garcia,43939.45,501,87.7
************4624,Ariana Campbell,43715.5,529,82.64
***********2904,Tabitha Reyes,43637.6,528,82.65
************7173,Jose Campbell,43472.38,530,82.02
************4489,Hannah Knight,43387.62,521,83.28
************0446,Margaret Ward,43100.12,501,86.03
***********1366,David Erickson,42992.96,536,80.21
************3821,Natalie Watson,42477.19,521,81.53
***********4413,Jennifer Carrillo,42076.58,510,82.5
************1657,Sydney Montoya,41810.7,527,79.34
************4278,Carolyn Thomas,41256.8,533,77.4
************7667,Jerry Perkins,41249.909999999996,516,79.94
************7243,Anthony Velasquez,41043.7,525,78.18
**********8630,Veronica Burton,40982.45,518,79.12
************7959,Mike Tran,40581.05,536,75.71
************1287,Steven Johnson,40403.15,501,80.65
************9723,Dorothy Zuniga,40377.22,502,80.43
**********5605,Kylie Kirby,40345.98,502,80.37
************1879,Jennifer Scott,40193.43,542,74.16
************6006,Scott Sullivan,40156.85,528,76.05
************1686,Bridget Bowen,40000.86,513,77.97
************8561,Gregory Wood,39798.32,511,77.88
*********0464,Charles Copeland,39743.77,535,74.29
************9862,Nathan Stewart,39472.46,519,76.05
************6287,David Hughes,39469.62,517,76.34
***********5600,Richard Barnes,39357.9,481,81.83
************7968,Monique Fox,39271.48,519,75.67
************9795,Michael Garner,39215.53,499,78.59
************8308,Juan Taylor,39143.85,519,75.42
************4531,Angela Edwards,39034.92,483,80.82
************6894,Samuel Short,38819.24,554,70.07
**********5317,Nicholas Osborne,38739.48,529,73.23
***********5855,Tammie Harper,38597.6,518,74.51
************4237,Aaron Rogers,38418.91,508,75.63
*********7723,Scott Cole,38256.73,524,73.01
************7385,Katherine Cooper,38040.13,524,72.6
************4647,Michelle Juarez,37982.31,519,73.18
**********5747,Jennifer Garcia,37977.74,512,74.18
************3447,Lawrence Ellis,37908.9,519,73.04
************0035,William Lopez,37792.94,530,71.31
*********4652,Karen Cooper,37687.01,523,72.06
**********3032,Kimberly Webb,37455.69,514,72.87
***********7097,Tiffany Stephens,37386.77,529,70.67
***********9864,Larry Vaughan,37317.28,513,72.74
************8984,Mckenzie Brooks,37293.18,530,70.36
************7120,Walter Blair,37183.15,529,70.29
************7005,Ashley Mcdonald,37053.81,510,72.65
************3602,Christie Mendoza,37009.36,524,70.63
***********5109,Zachary Boone,36718.81,495,74.18
************8782,Kenneth Richards,36616.72,504,72.65
************4703,Tammy Maldonado,36598.72,475,77.05
************3331,William Martinez,36575.16,508,72.0
************6950,Thomas Payne,36441.87,540,67.48
************6168,Brooke Fisher,36411.49,506,71.96
************6158,Robert Velazquez,36392.75,509,71.5
************5392,Anthony Roberts,36324.93,534,68.02
************9225,Ashley Robinson,36251.340000000004,505,71.78
***********6399,Kara Miles,36230.07,520,69.67
************5735,Erika Gonzalez,36203.1,503,71.97
************4931,Richard Marshall,36160.38,517,69.94
************9494,Ryan Arnold,36121.2,532,67.9
************4500,Jennifer Conner,36101.73,552,65.4
************0227,Kathleen Heath,35990.84,519,69.35
************0240,Jeremy White,35878.9,493,72.78
************7976,Warren Daniels,35841.84,538,66.62
************7931,Dawn Cox,35819.57,516,69.42
***********7375,Gabriella Jordan,35781.0,504,70.99
************1314,Alex White,35739.74,515,69.4
************8225,Katherine Pennington,35719.01,538,66.39
************9759,David Thomas,35608.12,494,72.08
***********8609,Michael Jackson,35451.83,495,71.62
************0012,Thomas Mathis,35213.91,503,70.01
*********1103,Sarah Cross,35152.98,521,67.47
************8790,Alan Taylor,35056.43,509,68.87
*********1361,Kimberly Castro,35034.9,510,68.7
************8552,Bradley Anderson,34991.04,521,67.16
************2667,Maria Rosales,34866.97,518,67.31
**********5105,Vincent Cain,34828.42,507,68.7
************0059,Vincent Ward,34778.45,515,67.53
************9773,Briana Santos,34744.95,520,66.82
************7427,Douglas Smith,34512.39,522,66.12
*********5305,Eric Patel,34327.1,521,65.89
************7229,Nancy Roach,34303.02,525,65.34
*********1662,Robert Jordan,34279.95,506,67.75
************4524,Sarah Scott,34216.94,519,65.93
************7234,Danielle Allen,34208.98,490,69.81
**********9449,Brandon Bridges,34185.88,519,65.87
************9449,Cody Hooper,34158.34,507,67.37
**********5889,Christopher Raymond,34022.65,518,65.68
************1178,Patricia Russell,33980.38,516,65.85
************5795,Sharon Powell,33923.12,514,66.0
***********8417,Debra Becker,33838.22,513,65.96
************0597,Sheri Thomas,33794.5,492,68.69
************5815,Mark Allen,33773.59,520,64.95
************1034,David Campbell,33769.65,516,65.45
************7239,Gregory Webster,33708.92,509,66.23
************0433,Michelle Beck,33690.23,499,67.52
************5856,David Rogers,33648.58,519,64.83
************7782,Belinda Jimenez,33607.73,514,65.38
************8620,Steven Castaneda,33443.91,502,66.62
************8806,David Nichols,33376.17,507,65.83
************6678,Christina Moore,33364.35,471,70.84
*********3950,Adam Keller,33310.58,521,63.94
**********7661,Edward Sanchez,33132.63,503,65.87
***********6375,Christine Davis,32916.13,480,68.58
***********4490,Bobby Smith,32854.13,534,61.52
************4237,John Williams,32815.96,515,63.72
***********9214,Gerald Anthony,32767.3,504,65.01
**********0127,Karen Sullivan,32589.25,496,65.7
************3385,Victoria Mcbride,32568.73,528,61.68
************9782,Derek Jones,32561.28,518,62.86
**********2504,Felicia Thomas,32485.1,532,61.06
************3489,Amanda Adams,32295.89,511,63.2
************4131,Jeffery Sanders,32249.83,511,63.11
***********7414,Sean Miller,32232.48,492,65.51
*********6394,Vincent Mueller,32135.52,516,62.28
************8369,Kevin Pena,32056.72,521,61.53
**********2315,Danielle Walker,31807.3,523,60.82
************4121,Haley Wagner,31759.77,525,60.49
************3984,Brian Hogan,31576.46,499,63.28
***********1454,Cody Dean,31547.9,511,61.74
**********5631,John Nichols,31507.27,524,60.13
************1491,Mark Nguyen,31284.53,492,63.59
**********1706,Derrick George,31229.54,525,59.48
*********4741,Jason Farmer,31188.93,502,62.13
************0820,Douglas Willis,31084.88,518,60.01
**********5058,Sonya Jensen,30856.91,516,59.8
************2438,Christina Nelson,30618.18,509,60.15
************2582,Amanda Alexander,30576.82,501,61.03
***********4823,Robert James,30542.19,519,58.85
************3520,Gerald Frank,30243.03,509,59.42
***********7335,Thomas Gibson,30219.51,504,59.96
**********9301,Daniel Graham,30087.68,515,58.42
***********6866,Christine Shaffer,30019.51,496,60.52
************2291,Tina Alvarez,29987.19,485,61.83
************9955,Ricky Dunn,29910.82,503,59.46
**********7165,Frederick Robinson,29594.88,526,56.26
************9057,Michele Patrick,29366.85,506,58.04
************5060,Leah Garner,29348.44,518,56.66
************3122,Kyle Wright,29106.9,503,57.87
*********2445,Alicia Miller,28981.76,526,55.1
************7671,Aaron Stewart,28704.06,537,53.45
***********2291,Mary Schmidt,28338.52,491,57.72
************9935,Christopher White,27785.86,524,53.03
************2399,Amy Garrett,27677.16,510,54.27
**********2802,Tommy Dixon,26992.04,504,53.56
************2193,Jeffrey Krause,26607.79,490,54.3
************5309,Erika Anderson,26266.93,490,53.61
**********0132,Connor Grant,25032.79,498,50.27
************0911,Amy Daugherty,22403.39,501,44.72
************4173,Robin Davis,10437.0,11,948.82
************9925,Kevin Hawkins,10404.970000000001,15,693.66
************3367,Robert Le,9384.03,15,625.6
************1141,Meagan Edwards,9097.310000000001,13,699.79
************1461,Colleen Morris,8564.29,11,778.57
*********1019,Brandy Johnson,8511.91,12,709.33
*********5412,Chelsea Silva,8431.93,19,443.79
************4745,Michael Rivera,8350.56,12,695.88
************5970,Alex Singh,8339.69,10,833.97
***********8916,Rachel Terrell,8265.83,9,918.43
*********5454,Bradley Adkins,7807.280000000001,12,650.61
************3766,Daniel Hernandez,7323.65,10,732.36
***********0186,Jacob Snow,7229.89,11,657.26
************4905,Arthur Wells,7192.92,9,799.21
*********1408,Matthew Sanchez,7131.84,10,713.18
************5212,Dakota Fowler,7068.08,10,706.81
************8867,Jeremy Nunez,7066.92,11,642.45
**********1997,Austin Phillips,7045.77,12,587.15
************8417,Diana Rodgers,6867.84,8,858.48
************4698,Tammy Mathews,6807.75,10,680.78
************5494,Mary Golden,6751.8099999999995,13,519.37
***********7327,Susan Garcia,6737.85,8,842.23
***********4495,Savannah Clark,6697.65,10,669.76
************9450,Larry Garcia,6462.6,11,587.51
************8737,Juan West,6271.37,9,696.82
*********1506,John Ross,6263.21,10,626.32
***********0767,Christopher Wilson,6149.41,10,614.94
************5915,Kelly Lawrence,6121.54,7,874.51
************4133,Megan Hernandez,6038.89,9,670.99
*********9971,David Santiago,5858.01,10,585.8
************9279,Deanna Warren,5857.349999999999,10,585.73
***********5279,Brenda Norris,5767.01,11,524.27
************8006,Ashlee Long,5764.55,11,524.05
************4654,Christina Norris,5671.95,7,810.28
************3933,David Peterson,5523.45,9,613.72
************1753,Randy Warner,5362.9,9,595.88
************8080,Dennis Jones,5342.77,11,485.71
************0253,Jessica Rodgers,5314.88,8,664.36
************1231,Julie Vasquez,5098.57,12,424.88
************8998,Traci Bridges,5007.6,11,455.24
************3004,Eric Dunn,4976.26,10,497.63
**********2254,James Taylor,4908.57,9,545.4
************0159,Bryan Gill,4831.61,8,603.95
************1264,Samuel Sellers,4788.19,10,478.82
************4777,Christine Johnson,4630.4400000000005,9,514.49
************0565,Calvin Molina,4539.62,9,504.4
************0011,Christine Jones,4490.06,9,498.9
*********5633,Christopher Contreras,4404.16,9,489.35
************9419,Joe Allen,4175.17,11,379.56
*********1020,Danielle Schaefer,4008.75,7,572.68
************3670,Rachel Johnson,3830.65,7,547.24
************0657,Cody Blake,3595.25,7,513.61
************1879,Jerry Parker,3588.5,9,398.72
***********1129,Karen Brewer,3273.02,10,327.3
***********2063,Samantha Ramirez,3203.73,7,457.68
**********6673,Molly Marshall,3023.4,8,377.92
************1293,Mark Pennington,2494.25,7,356.32
***********0220,Misty Hart,1496.1,7,213.73
************6228,Phyllis Powell,1348.53,8,168.57
